Disease,Locality,Latitude,Longitude,Reported Cases,Severity,Source,Date
Cholera,HSR Layout,13.199812,77.59207,176,High,WHO,2024-12-01
Dengue,Yelahanka,12.967006,77.783068,50,Low,WHO,2024-02-16
Malaria,Sahakar Nagar,13.01254,77.598596,489,Medium,Local Hospital,2024-06-28
COVID-19,Lalbagh,13.111156,77.624401,143,Medium,HealthMap,2024-05-07
Malaria,Domlur,12.910932,77.666656,325,High,CDC,2024-04-10
Swine Flu,Sarjapur Road,12.994886,77.688014,11,Low,HealthMap,2024-12-23
Hepatitis,BTM Layout,12.811402,77.743968,245,Medium,HealthMap,2024-09-10
COVID-19,Domlur,13.144716,77.662113,142,High,HealthMap,2024-04-23
Malaria,Indiranagar,12.980769,77.558315,306,High,WHO,2024-12-19
Swine Flu,BTM Layout,13.090466,77.512544,113,Low,HealthMap,2024-08-16
Swine Flu,Malleshwaram,13.145508,77.55748,160,Low,WHO,2024-03-26
Cholera,Sarjapur Road,13.002762,77.787959,65,Low,CDC,2024-12-26
COVID-19,Wilson Garden,12.99074,77.665105,249,Medium,CDC,2024-02-23
COVID-19,Wilson Garden,12.805582,77.674091,417,High,CDC,2024-02-07
Zika Virus,Magadi Road,13.102501,77.582251,37,High,HealthMap,2024-06-01
Malaria,Jayanagar,12.951282,77.773679,51,Low,CDC,2024-03-12
Zika Virus,Kammanahalli,12.912304,77.656747,448,Medium,CDC,2024-06-29
Malaria,Kasturi Nagar,13.013312,77.672464,424,Medium,HealthMap,2024-02-16
Hepatitis,Shivajinagar,13.094224,77.570999,98,Low,User Report,2024-07-08
Dengue,Malleshwaram,13.120526,77.530263,273,Low,User Report,2024-07-12
Zika Virus,Kadugodi,12.810674,77.724852,389,High,HealthMap,2024-02-17
Tuberculosis,Wilson Garden,12.848345,77.711808,248,Medium,Local Hospital,2024-10-16
Tuberculosis,Yelahanka,13.022916,77.614055,174,High,Local Hospital,2024-05-21
Swine Flu,Banaswadi,12.947905,77.605311,286,High,WHO,2024-06-28
Cholera,Whitefield,12.889503,77.602723,271,High,WHO,2024-12-09
Cholera,Kadugodi,12.836074,77.584733,32,Low,CDC,2024-07-21
Hepatitis,HSR Layout,12.808008,77.581096,432,Medium,Local Hospital,2024-10-22
Tuberculosis,Koramangala,12.900995,77.557125,289,High,User Report,2024-11-12
COVID-19,Marathahalli,13.141115,77.784611,24,High,User Report,2024-07-21
Zika Virus,TC Palya,13.095315,77.699182,207,Low,HealthMap,2024-01-05
Malaria,Jayanagar,12.890786,77.721703,64,Medium,Local Hospital,2024-08-19
COVID-19,Kengeri,12.987272,77.624057,297,Medium,CDC,2024-11-09
Swine Flu,HBR Layout,13.018515,77.767161,114,Low,Local Hospital,2024-11-21
Cholera,Ramamurthy Nagar,13.085232,77.581426,26,Low,HealthMap,2024-08-03
Swine Flu,Ulsoor,13.110863,77.643943,252,Medium,WHO,2024-09-16
Dengue,Gandhinagar,12.80039,77.590274,34,Low,User Report,2024-12-23
COVID-19,Marathahalli,13.167639,77.751931,433,High,Local Hospital,2024-11-18
Malaria,Ramamurthy Nagar,13.069808,77.624992,311,Medium,User Report,2024-07-10
Dengue,Lalbagh,12.827406,77.782185,176,Medium,Local Hospital,2024-07-23
Malaria,Kammanahalli,12.862235,77.579726,430,Low,HealthMap,2024-05-04
Hepatitis,Marathahalli,13.00815,77.63416,456,Low,Local Hospital,2024-07-04
Tuberculosis,Nagarbhavi,12.862238,77.778693,15,Low,Local Hospital,2024-04-22
Dengue,Banaswadi,12.961278,77.554533,299,Low,CDC,2024-06-04
Zika Virus,Bellandur,12.917159,77.541412,106,Low,Local Hospital,2024-05-18
Dengue,Gandhinagar,12.874145,77.531941,28,Medium,WHO,2024-10-03
Hepatitis,Whitefield,12.828697,77.627648,328,Medium,Local Hospital,2024-07-13
Dengue,Bommanahalli,12.865509,77.617547,259,High,Local Hospital,2024-08-08
Dengue,Bellandur,13.186865,77.591409,458,Low,WHO,2024-02-19
Cholera,BTM Layout,13.100123,77.611678,357,Medium,User Report,2024-08-29
Tuberculosis,Hennur,12.963476,77.645872,164,Medium,Local Hospital,2024-08-12
Dengue,Banaswadi,13.177203,77.59358,309,Medium,WHO,2024-10-29
Dengue,Jayanagar,13.053215,77.799035,88,Low,Local Hospital,2024-12-09
Swine Flu,Whitefield,13.1639,77.546181,375,High,HealthMap,2024-07-12
Tuberculosis,Vijayanagar,12.998943,77.698176,301,High,HealthMap,2024-09-17
Malaria,Mysore Road,13.161489,77.647041,196,Medium,User Report,2024-11-26
Zika Virus,Electronic City,13.184305,77.597042,236,High,HealthMap,2024-06-29
COVID-19,Hulimavu,12.973326,77.689447,251,Low,User Report,2024-10-05
Malaria,Rajajinagar,13.191644,77.666178,377,Low,CDC,2024-05-21
Zika Virus,Koramangala,13.121512,77.744907,102,Low,Local Hospital,2024-09-27
Malaria,KR Market,13.096938,77.503745,62,Medium,HealthMap,2024-07-05
Malaria,Peenya,13.178459,77.592972,353,Low,WHO,2024-01-14
Dengue,Yelahanka,13.143152,77.767065,58,Medium,HealthMap,2024-12-17
Malaria,Nagarbhavi,12.818177,77.525781,354,Low,User Report,2024-06-24
Zika Virus,Electronic City,12.9841,77.531809,330,Low,Local Hospital,2024-07-11
Cholera,Bommanahalli,12.857357,77.70739,422,Low,HealthMap,2024-11-27
Zika Virus,Hoodi,12.960868,77.709203,233,Low,CDC,2024-07-13
Swine Flu,Sahakar Nagar,12.818653,77.794466,249,Medium,Local Hospital,2024-05-22
Zika Virus,Chickpet,13.079095,77.513988,299,High,WHO,2024-07-18
Zika Virus,Chickpet,13.128391,77.69203,372,Medium,HealthMap,2024-09-18
COVID-19,Magadi Road,13.150943,77.718058,17,Low,User Report,2024-12-08
Hepatitis,HBR Layout,12.890428,77.53684,194,High,User Report,2024-08-14
Zika Virus,Whitefield,12.828709,77.569191,28,Low,WHO,2024-08-09
COVID-19,KR Puram,13.041061,77.518376,62,Medium,HealthMap,2024-05-04
Swine Flu,JP Nagar,13.094847,77.601539,356,High,HealthMap,2024-01-29
COVID-19,Gandhinagar,13.086882,77.616191,20,High,Local Hospital,2024-02-27
Dengue,Gandhinagar,12.877225,77.750781,383,Medium,Local Hospital,2024-09-11
Cholera,Kengeri,13.020637,77.654372,278,Low,User Report,2024-01-28
Dengue,Magadi Road,13.047268,77.617423,139,Medium,WHO,2024-07-01
Tuberculosis,Hulimavu,12.825378,77.602452,92,High,Local Hospital,2024-11-22
Cholera,Wilson Garden,13.045748,77.796535,302,High,WHO,2024-02-26
Hepatitis,HBR Layout,13.072871,77.760779,132,Medium,User Report,2024-04-03
COVID-19,MG Road,13.1124,77.675149,91,Medium,User Report,2024-12-20
Tuberculosis,Magadi Road,13.124147,77.759367,473,High,HealthMap,2024-06-09
Hepatitis,Wilson Garden,12.868914,77.515106,484,Low,CDC,2024-12-11
Hepatitis,Banashankari,13.028876,77.716813,368,Medium,HealthMap,2024-12-26
Cholera,Banaswadi,12.983048,77.529481,220,Medium,Local Hospital,2024-02-18
Hepatitis,Kanakapura Road,12.893234,77.568221,28,Low,CDC,2024-09-01
Swine Flu,KR Market,12.933499,77.566053,160,Low,CDC,2024-02-12
Malaria,Hulimavu,13.155663,77.661696,387,High,Local Hospital,2024-10-31
Dengue,KR Puram,13.168795,77.725596,99,Low,Local Hospital,2024-12-29
Hepatitis,Hennur,13.020125,77.652205,473,Medium,User Report,2024-10-12
Cholera,Hebbal,12.992186,77.69617,119,Medium,HealthMap,2024-12-31
Tuberculosis,Yelahanka,12.993234,77.525122,219,High,Local Hospital,2024-10-05
Dengue,Bommanahalli,12.916714,77.671176,342,Medium,WHO,2024-08-03
Cholera,Hoodi,12.86651,77.660318,401,Medium,CDC,2024-05-18
Hepatitis,KR Market,13.150934,77.760845,449,Medium,Local Hospital,2024-03-29
Cholera,Dasarahalli,13.114286,77.5458,426,High,HealthMap,2024-07-31
COVID-19,Malleshwaram,12.997606,77.677084,328,Medium,WHO,2024-01-28
Dengue,HBR Layout,12.921054,77.680418,279,Low,HealthMap,2024-12-12
Hepatitis,Yelahanka,13.166149,77.539207,112,Low,User Report,2024-08-13
Malaria,Hoodi,13.096031,77.70336,375,Low,WHO,2024-02-29
Zika Virus,RT Nagar,13.015883,77.595985,292,High,User Report,2024-09-08
Hepatitis,Magadi Road,12.881239,77.703787,289,Low,CDC,2024-03-07
Tuberculosis,Banashankari,13.052308,77.695847,394,High,Local Hospital,2024-03-06
Cholera,Domlur,12.869106,77.626769,349,High,User Report,2024-07-12
COVID-19,Marathahalli,13.074766,77.665928,430,High,HealthMap,2024-08-17
Tuberculosis,Lalbagh,13.049861,77.713733,103,High,CDC,2024-04-06
Zika Virus,Chickpet,13.106346,77.585286,232,High,WHO,2024-04-29
Dengue,Bellandur,12.844686,77.686927,201,High,HealthMap,2024-06-12
Swine Flu,Gandhinagar,12.923351,77.576801,257,High,WHO,2024-09-01
Hepatitis,Basavanagudi,12.986625,77.734703,74,Low,Local Hospital,2024-08-09
COVID-19,Hoodi,13.043821,77.70996,466,Medium,User Report,2024-01-27
COVID-19,Ramamurthy Nagar,12.940183,77.75621,361,Medium,Local Hospital,2024-08-06
Tuberculosis,HBR Layout,13.024732,77.643333,224,Medium,WHO,2024-03-11
Tuberculosis,Gandhinagar,13.012763,77.546241,161,High,HealthMap,2024-07-09
Tuberculosis,Indiranagar,13.076589,77.708209,371,High,HealthMap,2024-09-12
Cholera,Marathahalli,13.104791,77.701298,466,High,HealthMap,2024-01-27
Cholera,Banaswadi,12.822454,77.614777,53,Low,WHO,2024-03-10
Dengue,Kengeri,13.103204,77.612631,243,High,HealthMap,2024-09-16
Tuberculosis,Devanahalli,13.161607,77.654299,211,High,CDC,2024-08-13
Hepatitis,Vijayanagar,12.946959,77.567209,32,Low,WHO,2024-03-06
Hepatitis,Bommanahalli,12.9912,77.679224,292,Low,CDC,2024-02-19
Cholera,Ulsoor,12.899021,77.555436,187,Medium,HealthMap,2024-06-25
Malaria,Hebbal,12.990801,77.636803,195,High,CDC,2024-12-31
Hepatitis,Hebbal,12.97686,77.575635,49,Low,Local Hospital,2024-11-22
Hepatitis,Ulsoor,13.003007,77.682461,102,Low,WHO,2024-06-06
Zika Virus,Devanahalli,12.968631,77.69512,246,Low,Local Hospital,2024-07-16
Zika Virus,HSR Layout,13.104151,77.633816,100,High,Local Hospital,2024-10-15
Swine Flu,Hoodi,12.96849,77.66052,217,Low,WHO,2024-12-29
COVID-19,Vijayanagar,13.155425,77.531548,82,Low,CDC,2024-10-18
Tuberculosis,Sarjapur Road,12.9649,77.69588,402,Medium,CDC,2024-09-10
Swine Flu,Indiranagar,12.942919,77.53342,482,Medium,HealthMap,2024-07-22
Dengue,Mysore Road,13.034906,77.506096,83,High,CDC,2024-09-02
Cholera,Banaswadi,13.117338,77.669418,323,Low,WHO,2024-12-13
Dengue,Ramamurthy Nagar,13.185243,77.713341,358,Medium,Local Hospital,2024-06-03
Dengue,Vijayanagar,12.836114,77.697152,372,Low,Local Hospital,2024-03-01
Tuberculosis,Mysore Road,13.100528,77.596697,479,High,HealthMap,2024-07-03
Zika Virus,Varthur,12.880223,77.634177,117,High,WHO,2024-09-19
Swine Flu,Indiranagar,12.981644,77.629087,252,High,CDC,2024-01-03
Hepatitis,Gandhinagar,12.984985,77.78586,185,High,User Report,2024-01-02
Tuberculosis,Koramangala,12.960042,77.606331,233,Medium,Local Hospital,2024-03-31
Dengue,Kengeri,13.009165,77.771849,105,Low,User Report,2024-12-05
Dengue,Nagarbhavi,13.138481,77.531923,89,Low,Local Hospital,2024-02-27
Zika Virus,Bommanahalli,12.994429,77.726072,450,High,CDC,2024-09-17
Swine Flu,Kanakapura Road,12.967313,77.75947,120,High,WHO,2024-10-16
Tuberculosis,Rajajinagar,13.002142,77.750405,435,Low,WHO,2024-06-15
Zika Virus,Hulimavu,12.857267,77.711433,381,Low,CDC,2024-04-02
COVID-19,MG Road,12.878495,77.653335,203,Low,WHO,2024-06-27
Cholera,Ulsoor,12.850362,77.769911,332,Medium,User Report,2024-02-25
Hepatitis,Electronic City,12.915445,77.633705,448,Low,CDC,2024-03-08
Malaria,Kengeri,13.180144,77.688608,69,Medium,Local Hospital,2024-10-14
Swine Flu,Hebbal,12.844102,77.749944,193,Low,WHO,2024-08-15
Cholera,MG Road,12.844975,77.634815,170,High,HealthMap,2024-10-07
COVID-19,Chickpet,12.866408,77.779288,224,Medium,User Report,2024-09-30
Dengue,Gandhinagar,12.955569,77.68904,494,Low,CDC,2024-08-19
Malaria,Wilson Garden,13.071876,77.646156,318,High,CDC,2024-05-14
Dengue,Peenya,13.063496,77.536799,254,High,User Report,2024-09-07
Malaria,BTM Layout,12.927878,77.796024,13,High,HealthMap,2024-12-04
Zika Virus,KR Puram,13.179821,77.544416,184,Low,Local Hospital,2024-12-26
Hepatitis,Chickpet,13.193403,77.605811,64,Medium,WHO,2024-06-24
Zika Virus,Marathahalli,12.840752,77.545109,478,High,Local Hospital,2024-05-28
Cholera,Whitefield,12.972915,77.539324,473,High,Local Hospital,2024-09-22
Zika Virus,Majestic,12.904027,77.652818,388,Low,HealthMap,2024-10-18
Malaria,Kengeri,12.979555,77.569081,323,Medium,User Report,2024-01-12
Cholera,Whitefield,12.960985,77.745661,275,Medium,User Report,2024-08-26
Cholera,Banashankari,12.926093,77.541462,439,Low,WHO,2024-02-11
Hepatitis,KR Market,12.939025,77.551322,95,Low,CDC,2024-01-09
Cholera,Hulimavu,12.911586,77.637328,311,High,WHO,2024-12-10
Zika Virus,Hebbal,13.030307,77.642692,210,High,CDC,2024-07-26
Tuberculosis,Kasturi Nagar,12.974448,77.545014,349,Low,HealthMap,2024-08-10
Swine Flu,KR Puram,12.807539,77.55211,302,Low,HealthMap,2024-07-28
Zika Virus,Hebbal,12.879025,77.793984,108,Low,WHO,2024-12-01
Dengue,Hoodi,12.94584,77.786613,495,Low,HealthMap,2024-01-31
Zika Virus,Majestic,12.907138,77.527939,174,Medium,CDC,2024-11-03
Hepatitis,Shivajinagar,12.933642,77.716063,309,Medium,User Report,2024-07-20
Tuberculosis,Kanakapura Road,13.095786,77.741025,312,High,CDC,2024-03-26
Cholera,Hebbal,12.833482,77.656795,259,Low,Local Hospital,2024-11-24
Malaria,KR Market,13.119755,77.543198,377,Medium,CDC,2024-10-25
Hepatitis,Ulsoor,12.902789,77.777573,363,High,WHO,2024-10-21
Dengue,HBR Layout,12.800617,77.702968,10,High,Local Hospital,2024-08-25
Malaria,Peenya,12.967928,77.622438,280,Low,User Report,2024-01-25
Hepatitis,JP Nagar,13.154356,77.73051,154,Medium,HealthMap,2024-09-12
Cholera,Ulsoor,13.1583,77.783513,187,Low,HealthMap,2024-10-30
Swine Flu,Kadugodi,12.861735,77.645378,286,Medium,CDC,2024-06-04
Dengue,Kadugodi,13.11624,77.602214,268,Medium,CDC,2024-07-05
Hepatitis,Gandhinagar,13.113126,77.52935,34,Low,CDC,2024-07-27
COVID-19,RT Nagar,12.935314,77.685642,224,High,WHO,2024-04-13
Tuberculosis,Hennur,12.936027,77.608392,295,High,Local Hospital,2024-07-18
Zika Virus,Dasarahalli,12.921795,77.725035,18,Low,HealthMap,2024-12-28
Swine Flu,BTM Layout,13.057843,77.671243,473,High,User Report,2024-12-04
Swine Flu,MG Road,12.969431,77.703636,25,Low,CDC,2024-02-01
Swine Flu,Shivajinagar,13.091869,77.626451,156,Low,Local Hospital,2024-01-24
Tuberculosis,KR Puram,13.075314,77.516786,156,Medium,Local Hospital,2024-10-28
COVID-19,JP Nagar,12.855557,77.678131,65,Low,WHO,2024-05-28
Cholera,Hulimavu,13.117068,77.578833,130,Low,WHO,2024-12-17
Hepatitis,Magadi Road,13.100218,77.761764,170,Medium,Local Hospital,2024-04-05
Swine Flu,Indiranagar,13.168542,77.516614,439,Medium,WHO,2024-06-17
Malaria,Chickpet,12.883777,77.719722,75,Medium,CDC,2024-01-09
Cholera,Yelahanka,12.865676,77.574131,271,Medium,WHO,2024-01-07
Cholera,Peenya,12.864056,77.7669,251,Low,CDC,2024-11-25
Swine Flu,Hennur,12.88017,77.679645,108,Medium,CDC,2024-10-05
Hepatitis,Nagarbhavi,12.912698,77.695298,173,High,CDC,2024-03-07
Hepatitis,Jayanagar,13.146578,77.506606,150,Medium,CDC,2024-01-25
COVID-19,Banaswadi,12.879572,77.714002,446,High,CDC,2024-06-07
Dengue,KR Puram,13.042916,77.554175,235,Low,WHO,2024-05-25
Dengue,Rajajinagar,12.813116,77.683685,169,High,HealthMap,2024-10-02
Hepatitis,Hulimavu,13.182108,77.685973,481,High,WHO,2024-02-16
Dengue,Sahakar Nagar,13.094313,77.628924,13,High,CDC,2024-01-18
Cholera,Nagarbhavi,12.92472,77.668821,382,High,Local Hospital,2024-09-15
Malaria,Nagarbhavi,13.159146,77.710124,381,High,CDC,2024-12-16
Swine Flu,Mysore Road,13.068727,77.581124,156,Low,WHO,2024-10-02
Malaria,Hebbal,13.103951,77.762151,292,Low,CDC,2024-04-08
Swine Flu,HBR Layout,12.912717,77.605246,242,Low,Local Hospital,2024-04-10
Malaria,Shivajinagar,12.817978,77.73756,46,High,WHO,2024-03-27
Malaria,Hebbal,12.877057,77.671272,296,Medium,WHO,2024-11-22
Zika Virus,Indiranagar,12.873254,77.518839,488,High,HealthMap,2024-09-28
Zika Virus,Mysore Road,13.031426,77.756221,96,Low,WHO,2024-01-12
Hepatitis,Vijayanagar,13.006883,77.640351,481,High,WHO,2024-04-18
Tuberculosis,Electronic City,13.039682,77.718226,40,Medium,HealthMap,2024-05-20
COVID-19,Kanakapura Road,13.006875,77.541818,263,Low,CDC,2024-06-13
Malaria,KR Market,13.010539,77.708916,162,High,User Report,2024-12-04
Cholera,RT Nagar,12.957905,77.588465,209,Low,HealthMap,2024-03-25
Dengue,Chickpet,12.86719,77.530509,437,Medium,User Report,2024-12-10
Hepatitis,Shivajinagar,12.84218,77.662056,24,Low,HealthMap,2024-12-21
Cholera,Wilson Garden,12.977085,77.601754,385,High,WHO,2024-01-26
COVID-19,Marathahalli,12.922494,77.793797,336,High,User Report,2024-09-30
Swine Flu,Marathahalli,13.159344,77.748616,270,Low,User Report,2024-10-18
Tuberculosis,Kadugodi,12.921845,77.543317,414,Medium,User Report,2024-03-29
Swine Flu,Kadugodi,13.073909,77.692285,443,Low,WHO,2024-09-12
Zika Virus,Mysore Road,12.919493,77.741963,162,Medium,WHO,2024-08-22
Tuberculosis,Dasarahalli,12.962442,77.647769,11,High,CDC,2024-12-20
Cholera,Chickpet,13.097441,77.548067,182,High,WHO,2024-11-23
Tuberculosis,BTM Layout,12.869396,77.739507,500,Low,CDC,2024-04-20
Tuberculosis,Banashankari,13.151448,77.629172,114,Medium,Local Hospital,2024-11-17
COVID-19,Hebbal,12.88303,77.654605,131,High,HealthMap,2024-12-25
Swine Flu,Vijayanagar,13.006318,77.697605,421,Low,HealthMap,2024-10-20
Tuberculosis,Vijayanagar,13.139254,77.703129,336,Low,WHO,2024-10-28
Zika Virus,Nagarbhavi,13.025752,77.543874,488,High,HealthMap,2024-10-09
Dengue,Magadi Road,13.198225,77.579934,417,High,User Report,2024-08-31
Dengue,Yelahanka,12.899411,77.72269,476,High,HealthMap,2024-04-09
Cholera,Sarjapur Road,13.155512,77.607007,434,Low,User Report,2024-10-28
Tuberculosis,Kengeri,13.154936,77.539844,477,High,WHO,2024-02-25
COVID-19,Yelahanka,13.179696,77.675657,21,High,Local Hospital,2024-08-31
Malaria,Kengeri,13.107643,77.714921,369,Low,WHO,2024-03-18
Tuberculosis,Ulsoor,12.833605,77.690609,286,Medium,WHO,2024-01-31
Hepatitis,Whitefield,12.821891,77.717714,23,Low,HealthMap,2024-12-11
Malaria,RT Nagar,13.113886,77.707961,143,Medium,Local Hospital,2024-08-16
Zika Virus,Electronic City,12.98793,77.610462,149,Low,WHO,2024-02-18
Dengue,KR Market,13.088692,77.766332,159,High,User Report,2024-06-21
Hepatitis,Domlur,13.02281,77.54311,63,High,WHO,2024-12-12
Hepatitis,BTM Layout,13.129773,77.620905,168,High,CDC,2024-09-22
Dengue,Lalbagh,13.120914,77.692894,266,Low,WHO,2024-03-04
Malaria,Electronic City,13.095671,77.747913,392,Low,WHO,2024-08-28
Swine Flu,Ramamurthy Nagar,13.161332,77.636531,144,High,Local Hospital,2024-07-11
Zika Virus,Kammanahalli,12.932536,77.766433,454,Low,CDC,2024-07-18
Swine Flu,Whitefield,13.014004,77.773196,364,Medium,User Report,2024-01-25
Swine Flu,Yelahanka,12.952241,77.66865,325,Medium,HealthMap,2024-01-07
Dengue,Hulimavu,12.906839,77.755165,99,High,HealthMap,2024-07-02
Zika Virus,Sarjapur Road,12.94395,77.528156,192,Medium,HealthMap,2024-04-03
COVID-19,Sarjapur Road,12.939263,77.693748,188,High,User Report,2024-06-05
Tuberculosis,Banashankari,13.149427,77.567523,319,Low,CDC,2024-07-16
Cholera,Peenya,12.96897,77.763558,390,Medium,WHO,2024-02-22
COVID-19,Dasarahalli,12.945973,77.522695,380,Low,User Report,2024-03-30
Tuberculosis,Hoodi,13.066564,77.754843,102,Low,CDC,2024-08-11
Hepatitis,Whitefield,12.950131,77.680074,326,Medium,CDC,2024-05-17
Tuberculosis,Ulsoor,12.912886,77.519963,22,Medium,CDC,2024-05-19
Malaria,Magadi Road,13.054196,77.564689,41,Medium,Local Hospital,2024-11-10
Zika Virus,Shivajinagar,12.984082,77.620644,244,Low,Local Hospital,2024-03-29
Hepatitis,Vijayanagar,13.138838,77.592383,73,Low,CDC,2024-10-18
COVID-19,Hulimavu,12.940903,77.692173,81,Low,HealthMap,2024-06-16
Dengue,Sarjapur Road,13.001665,77.755805,276,High,User Report,2024-10-24
COVID-19,Shivajinagar,13.140152,77.797006,29,Low,User Report,2024-03-22
COVID-19,Shivajinagar,13.031715,77.56804,387,Low,WHO,2024-04-30
COVID-19,Koramangala,13.140264,77.613682,343,Low,User Report,2024-10-06
Malaria,Kanakapura Road,12.823352,77.714498,238,Medium,HealthMap,2024-01-30
Hepatitis,Kadugodi,12.904241,77.727548,489,Medium,User Report,2024-01-30
Swine Flu,Sahakar Nagar,13.15981,77.724131,208,Medium,User Report,2024-01-14
Dengue,KR Market,13.025652,77.658862,93,Low,CDC,2024-02-18
Swine Flu,Sarjapur Road,12.948429,77.651078,423,High,CDC,2024-07-25
Malaria,HSR Layout,13.143415,77.728307,473,High,User Report,2024-04-23
Cholera,Kanakapura Road,12.816944,77.688383,456,Medium,User Report,2024-06-25
Malaria,MG Road,12.986786,77.717443,22,Medium,CDC,2024-08-02
Swine Flu,RT Nagar,12.932413,77.6546,488,Medium,CDC,2024-04-05
Malaria,TC Palya,12.836238,77.657988,158,Low,CDC,2024-03-31
Tuberculosis,Banashankari,13.125145,77.798716,245,Low,User Report,2024-11-08
Zika Virus,BTM Layout,13.130524,77.695607,236,Medium,User Report,2024-06-01
COVID-19,Indiranagar,12.981891,77.730609,336,Medium,CDC,2024-02-16
COVID-19,Peenya,13.196091,77.792165,286,Medium,HealthMap,2024-10-30
Swine Flu,HBR Layout,12.890573,77.660701,201,High,Local Hospital,2024-08-17
Zika Virus,Malleshwaram,13.117415,77.699538,142,Low,User Report,2024-02-16
Dengue,Peenya,13.140224,77.667956,222,Medium,Local Hospital,2024-10-22
Hepatitis,Kadugodi,12.91596,77.786072,20,High,User Report,2024-12-03
Dengue,KR Puram,13.027084,77.773074,231,Medium,Local Hospital,2024-08-10
Malaria,Gandhinagar,12.846749,77.686014,357,High,WHO,2024-09-26
Hepatitis,Shivajinagar,12.807756,77.613379,417,Low,WHO,2024-04-29
Hepatitis,HSR Layout,12.943278,77.657113,10,Low,Local Hospital,2024-08-12
Cholera,Hennur,13.03066,77.536354,135,Medium,Local Hospital,2024-11-30
COVID-19,Kengeri,13.013614,77.500018,200,High,Local Hospital,2024-12-22
Dengue,Kammanahalli,12.982552,77.559511,388,High,CDC,2024-10-27
Swine Flu,Ulsoor,12.90388,77.746559,440,Medium,CDC,2024-06-03
COVID-19,Malleshwaram,12.951984,77.583665,408,High,WHO,2024-04-25
Cholera,Sarjapur Road,13.077,77.541258,349,Medium,User Report,2024-09-16
Zika Virus,Ulsoor,13.157118,77.537227,323,Medium,HealthMap,2024-01-10
Malaria,TC Palya,12.933692,77.773636,191,High,Local Hospital,2024-01-11
Hepatitis,Majestic,13.150492,77.513018,302,High,WHO,2024-12-27
Zika Virus,Bellandur,12.819914,77.524169,87,Medium,Local Hospital,2024-01-20
Dengue,Devanahalli,13.19718,77.619618,217,Low,CDC,2024-02-29
Zika Virus,Kengeri,12.923305,77.704516,109,Medium,WHO,2024-09-18
Dengue,Jayanagar,12.898695,77.565247,366,High,Local Hospital,2024-04-08
Swine Flu,HSR Layout,13.140169,77.63965,267,High,HealthMap,2024-03-24
Zika Virus,Whitefield,12.913102,77.60647,291,High,CDC,2024-02-09
Dengue,Basavanagudi,12.93403,77.502202,146,Medium,WHO,2024-07-19
Hepatitis,Devanahalli,13.120884,77.79531,412,Medium,Local Hospital,2024-06-05
Swine Flu,Hulimavu,13.124029,77.794742,61,High,Local Hospital,2024-07-28
Cholera,HBR Layout,13.063211,77.62599,289,Low,Local Hospital,2024-07-11
Swine Flu,JP Nagar,12.998982,77.526997,488,High,WHO,2024-07-02
Tuberculosis,Basavanagudi,12.903051,77.716616,149,High,HealthMap,2024-09-24
Hepatitis,Marathahalli,12.861564,77.542059,430,Medium,HealthMap,2024-07-12
Malaria,Vijayanagar,13.18001,77.652007,387,Medium,WHO,2024-11-29
Malaria,Dasarahalli,12.854229,77.710697,456,High,Local Hospital,2024-02-25
Swine Flu,Bellandur,12.918548,77.500441,140,Medium,CDC,2024-12-20
Tuberculosis,Hoodi,13.196705,77.623184,326,High,WHO,2024-11-10
Malaria,Hulimavu,13.029322,77.699702,490,Low,Local Hospital,2024-10-25
COVID-19,Marathahalli,12.839201,77.565108,385,Low,WHO,2024-03-15
COVID-19,Domlur,13.121312,77.667041,161,Medium,WHO,2024-10-15
Malaria,Whitefield,12.988711,77.533451,403,Medium,HealthMap,2024-03-06
Cholera,Hebbal,13.152636,77.639932,143,Low,CDC,2024-07-22
Zika Virus,Shivajinagar,12.896455,77.761232,473,Low,WHO,2024-04-16
Cholera,Gandhinagar,12.886575,77.796706,169,Medium,CDC,2024-04-01
Zika Virus,Electronic City,12.922335,77.641209,178,Medium,CDC,2024-05-31
Tuberculosis,Lalbagh,12.831217,77.71994,345,Medium,CDC,2024-05-21
Tuberculosis,Vijayanagar,13.169305,77.618222,73,Medium,Local Hospital,2024-03-31
Hepatitis,Gandhinagar,12.806957,77.773188,145,Low,WHO,2024-02-06
Tuberculosis,Koramangala,12.976402,77.544591,148,Medium,Local Hospital,2024-06-07
Swine Flu,Basavanagudi,12.814608,77.72254,196,High,User Report,2024-07-20
Dengue,Vijayanagar,13.157534,77.704936,308,High,CDC,2024-09-29
Swine Flu,Indiranagar,13.017439,77.559197,175,High,User Report,2024-06-30
Cholera,RT Nagar,12.966377,77.711298,323,Low,HealthMap,2024-01-13
Zika Virus,Bommanahalli,13.027184,77.518931,196,Medium,HealthMap,2024-09-27
COVID-19,Whitefield,12.885372,77.586499,97,High,Local Hospital,2024-06-10
Swine Flu,JP Nagar,12.991963,77.596326,53,Medium,Local Hospital,2024-02-06
Dengue,Marathahalli,12.981188,77.68464,78,Low,HealthMap,2024-01-10
COVID-19,Lalbagh,12.892963,77.554322,422,Medium,CDC,2024-01-27
Swine Flu,Mysore Road,12.916992,77.562196,405,High,HealthMap,2024-07-26
Tuberculosis,Banashankari,13.126001,77.559158,72,Low,User Report,2024-10-30
Dengue,Hoodi,13.193879,77.673642,37,Low,HealthMap,2024-12-05
